,0,1,2
0,Andy Burnham,Labour Party,3614
1,Ed Miliband,Labour Party,2875
2,Jeremy Corbyn,Labour Party,2027
3,Harriet Harman,Labour Party,1269
4,David Cameron,Labour Party,933
5,Chuka Umunna,Labour Party,870
6,Gordon Brown,Labour Party,755
7,Andy Burnham,Twitter,656
8,David Cameron,Twitter,565
9,George Osborne,Labour Party,553
10,Liz Kendall,Twitter,538
11,Liz Kendall,Parliamentary Labour Party,537
12,Andy Burnham,Parliamentary Labour Party,512
13,Jim Murphy,Labour Party,510
14,David Miliband,Labour Party,489
15,Ed Miliband,Parliamentary Labour Party,483
16,Ed Miliband,Twitter,471
17,David Cameron,European Union,450
18,Andy Burnham,Parliamentary Standards Authority Ipsa,441
19,David Cameron,Parliamentary Standards Authority Ipsa,440
20,Ed Miliband,Scottish National Party,415
21,Liz Kendall,Parliamentary Standards Authority Ipsa,414
22,George Osborne,National Living Wage,398
23,Andy Burnham,European Union,396
24,Harriet Harman,Twitter,387
25,Jeremy Corbyn,National Living Wage,380
26,Jeremy Corbyn,Parliamentary Labour Party,371
27,Chuka Umunna,Twitter,370
28,Nicky Morgan,Parliamentary Standards Authority Ipsa,368
29,Tony Blair,Twitter,367
30,Liz Kendall,National Executive Committee,362
31,Harriet Harman,National Living Wage,356
32,Chuka Umunna,National Executive Committee,356
33,Gordon Brown,Twitter,348
34,Ed Miliband,National Executive Committee,345
35,Harriet Harman,National Executive Committee,343
36,Andy Burnham,National Executive Committee,341
37,Ed Miliband,European Union,334
38,Andy Burnham,Scottish National Party,332
39,Dan Jarvis,National Executive Committee,327
40,Andy Burnham,National Living Wage,326
41,Dan Jarvis,Twitter,325
42,John Mann,Twitter,323
43,David Cameron,National Living Wage,320
44,Diane Abbott,Labour Party,318
45,Gordon Brown,National Executive Committee,305
46,David Miliband,National Executive Committee,304
47,David Miliband,Twitter,302
48,Margaret Hodge,Parliamentary Labour Party,300
49,David Cameron,National Executive Committee,296
50,John Mann,National Executive Committee,295
51,Tom Watson,Twitter,294
52,David Cameron,Green Party,280
53,Alan Johnson,Campaign Group,278
54,Liz Kendall,Scottish National Party,274
55,Andy Burnham,Association Ltd,274
56,Chris Leslie,Labour Party,271
57,Jeremy Corbyn,National Health Service,268
58,Ed Miliband,National Living Wage,261
59,Jeremy Corbyn,People Assembly,246
