,0,1,2
0,Andy Burnham,Yvette Cooper,7371
1,Liz Kendall,Yvette Cooper,6723
2,Andy Burnham,Liz Kendall,6334
3,Ed Miliband,Yvette Cooper,5252
4,Andy Burnham,Ed Miliband,4748
5,Ed Miliband,Liz Kendall,4185
6,Jeremy Corbyn,Yvette Cooper,2752
7,David Cameron,Yvette Cooper,2688
8,Andy Burnham,Jeremy Corbyn,2661
9,Harriet Harman,Yvette Cooper,2607
10,Mary Creagh,Yvette Cooper,2486
11,Liz Kendall,Mary Creagh,2444
12,Andy Burnham,Mary Creagh,2410
13,Andy Burnham,Harriet Harman,2378
14,Jeremy Corbyn,Liz Kendall,2332
15,Chuka Umunna,Yvette Cooper,2209
16,Harriet Harman,Liz Kendall,2117
17,Andy Burnham,Chuka Umunna,2082
18,Andy Burnham,David Cameron,2025
19,Chuka Umunna,Liz Kendall,1958
20,Chuka Umunna,Ed Miliband,1935
21,Tony Blair,Yvette Cooper,1928
22,Ed Miliband,Jeremy Corbyn,1907
23,Ed Miliband,Harriet Harman,1870
24,Andy Burnham,Tony Blair,1643
25,David Cameron,Liz Kendall,1616
26,Liz Kendall,Tony Blair,1548
27,Ed Miliband,Mary Creagh,1543
28,Gordon Brown,Yvette Cooper,1505
29,David Cameron,Ed Miliband,1484
30,Ed Miliband,Tony Blair,1281
31,Andy Burnham,Gordon Brown,1207
32,George Osborne,Yvette Cooper,1195
33,Gordon Brown,Liz Kendall,1175
34,Ed Miliband,Gordon Brown,1126
35,David Miliband,Yvette Cooper,1076
36,Andy Burnham,George Osborne,1074
37,Chuka Umunna,Harriet Harman,1041
38,Gordon Brown,Tony Blair,1015
39,Andy Burnham,David Miliband,933
40,David Cameron,Harriet Harman,897
41,David Miliband,Ed Miliband,895
42,David Miliband,Liz Kendall,892
43,Harriet Harman,Tony Blair,879
44,Chuka Umunna,Tony Blair,790
45,George Osborne,Harriet Harman,789
46,Dan Jarvis,Yvette Cooper,786
47,Harriet Harman,Jeremy Corbyn,780
48,Chuka Umunna,Gordon Brown,773
49,David Cameron,Jeremy Corbyn,765
50,George Osborne,Liz Kendall,738
51,Andy Burnham,Dan Jarvis,737
52,Chuka Umunna,Dan Jarvis,727
53,Tom Watson,Yvette Cooper,717
54,Ed Miliband,George Osborne,708
55,Dan Jarvis,Ed Miliband,699
56,Andy Burnham,Tom Watson,685
57,George Osborne,Jeremy Corbyn,679
58,Chuka Umunna,Mary Creagh,675
59,Chuka Umunna,David Miliband,672
60,Liz Kendall,Tom Watson,666
61,Dan Jarvis,Liz Kendall,663
62,David Cameron,Tony Blair,641
63,Jeremy Corbyn,Mary Creagh,633
64,Ed Miliband,Tom Watson,616
