Source,Target,Count,Type,Weight
Charlotte Church,Parliament Square,258,Undirected,0.028536184
National Health Service,Parliament Square,238,Undirected,0.026324077
Parliament Square,Royal Bank,230,Undirected,0.025439234
Parliament Square,People Assembly Against Austerity,91,Undirected,0.010065088
Jeremy Corbyn,Parliament Square,282,Undirected,0.007787858
David Bowie,Parliament Square,228,Undirected,0.006296566
Alex Diaz,Parliament Square,141,Undirected,0.003893929
Parliament Square,People Assembly,33,Undirected,0.003649977
David Cameron,Parliament Square,116,Undirected,0.003203516
Labour Party,Parliament Square,22,Undirected,0.002433318
Margaret Thatcher,Parliament Square,87,Undirected,0.002402637
Green Party,Parliament Square,16,Undirected,0.001769686
Andy Burnham,Labour Party,3614,Undirected,0.099806097
Ed Miliband,Labour Party,2875,Undirected,0.07939749
Jeremy Corbyn,Labour Party,2027,Undirected,0.055978682
Andy Burnham,Liz Kendall,6822,Undirected,0.055408799
Andy Burnham,Ed Miliband,5217,Undirected,0.042372868
Ed Miliband,Liz Kendall,5105,Undirected,0.041463196
Harriet Harman,Labour Party,1269,Undirected,0.035045362
National Executive Committee,Twitter,278,Undirected,0.030748292
Labour Party,Scottish National Party,269,Undirected,0.029752843
Charlotte Church,National Health Service,252,Undirected,0.027872552
Labour Party,Labour Party,251,Undirected,0.027761947
National Health Service,Royal Bank,240,Undirected,0.026545288
Charlotte Church,Royal Bank,238,Undirected,0.026324077
David Cameron,Labour Party,933,Undirected,0.025766211
Andy Burnham,Jeremy Corbyn,3044,Undirected,0.024723598
Andy Burnham,David Cameron,3021,Undirected,0.02453679
Chuka Umunna,Labour Party,870,Undirected,0.024026371
Institute For Fiscal Studies,National Living Wage,207,Undirected,0.022895311
Labour Party,Queen Mary University Of London,197,Undirected,0.021789257
Labour Party,Scottish Parliament,196,Undirected,0.021678652
Harriet Harman,Liz Kendall,2637,Undirected,0.021417913
Chuka Umunna,Liz Kendall,2630,Undirected,0.021361059
Andy Burnham,Harriet Harman,2581,Undirected,0.020963077
Gordon Brown,Labour Party,755,Undirected,0.020850471
Liz Kendall,Mary Creagh,2485,Undirected,0.020183358
International Development,Parliamentary Standards Authority,182,Undirected,0.020130177
Andy Burnham,Mary Creagh,2454,Undirected,0.019931573
Jeremy Corbyn,Liz Kendall,2423,Undirected,0.019679789
David Cameron,Ed Miliband,2400,Undirected,0.019492981
European Union,Labour Party,175,Undirected,0.019355939
David Cameron,Liz Kendall,2373,Undirected,0.019273685
Labour Party,Office For Budget Responsibility,174,Undirected,0.019245334
People Assembly,Charlotte Church,172,Undirected,0.019024123
Chuka Umunna,Ed Miliband,2317,Undirected,0.018818849
Andy Burnham,Chuka Umunna,2251,Undirected,0.018282792
Ed Miliband,Jeremy Corbyn,2250,Undirected,0.01827467
Andy Burnham,Twitter,656,Undirected,0.018116436
Labour Party,Twitter,162,Undirected,0.017918069
Campaign For Nuclear Disarmament,Charlotte Church,162,Undirected,0.017918069
Campaign For Nuclear Disarmament,People Assembly,161,Undirected,0.017807464
Charlotte Church,People Assembly Against Austerity,159,Undirected,0.017586253
Ed Miliband,Harriet Harman,2125,Undirected,0.017259411
Labour Party,National Living Wage,155,Undirected,0.017143832
Labour Party,People Assembly,154,Undirected,0.017033226
Andy Burnham,Parliamentary Standards Authority,583,Undirected,0.01610043
Electoral Reform Society,Labour Party,145,Undirected,0.016037778
Liz Kendall,Tony Blair,1950,Undirected,0.015838047
David Cameron,Parliamentary Standards Authority,573,Undirected,0.015824265
Campaign For Nuclear Disarmament,Labour Party,143,Undirected,0.015816567
David Cameron,Twitter,565,Undirected,0.015603333
European Union,Scottish National Party,139,Undirected,0.015374146
George Osborne,Labour Party,553,Undirected,0.015271935
Andy Burnham,Tony Blair,1831,Undirected,0.01487152
Liz Kendall,Twitter,538,Undirected,0.014857687
Liz Kendall,Labour Party,537,Undirected,0.01483007
Labour Party,Charlotte Church,131,Undirected,0.014489303
Labour Party,Reuters,130,Undirected,0.014378698
