,crp_id,direct_amount,direct_count,employee_amount,employee_count,id,name,total_amount,total_count
0,N00007665,85000.00,20,0,0,597f647e3b7540f3a0d02d6940c3a7de,Carpenters & Joiners Union,85000.00,20
1,N00007665,85000.00,28,0,0,48fda17a34a04c33a053a208e96f3743,Seafarers International Union,85000.00,28
2,N00007665,81500.00,23,0,0,68f73188dbf44f049e9138e0c0a54a2c,Machinists/Aerospace Workers Union,81500.00,23
3,N00007665,77000.00,28,0,0,b91d64c85b1b43faa13b7abff81b7bc4,United Transportation Union,77000.00,28
4,N00007665,75500.00,30,250.00,1,fb702029157e4c7c887172eba71c66c5,American Fedn of St/Cnty/Munic Employees,75750.00,31
5,N00007665,72500.00,33,2460.00,9,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,74960.00,42
6,N00007665,74125.00,45,0,0,b4e77fc68c91471f805554e14da60fb9,Intl Longshoremen's/Warehousemen's Union,74125.00,45
7,N00007665,72500.00,25,0,0,f89c8e3ab2b44f72971f91b764868231,Teamsters Union,72500.00,25
8,N00007665,69000.00,42,0,0,4d3167b97c9f48deb433aad57bb0ee44,United Auto Workers,69000.00,42
9,N00007665,68500.00,17,0,0,425be85642b24cc2bc3d8a0bb3c7bc92,Sheet Metal Workers Union,68500.00,17
0,N00001143,94000.00,44,500.00,1,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,94500.00,45
1,N00001143,84000.00,28,0,0,f89c8e3ab2b44f72971f91b764868231,Teamsters Union,84000.00,28
2,N00001143,68100.00,25,0,0,73a89c3b554945cd8228fa82fc53b73a,American Federation of Teachers,68100.00,25
3,N00001143,56500.00,30,9600.00,13,593d2c24c2304df3b3c77f03ca8f90be,New York Life Insurance,66100.00,43
4,N00001143,66000.00,39,0,0,fb702029157e4c7c887172eba71c66c5,American Fedn of St/Cnty/Munic Employees,66000.00,39
5,N00001143,62500.00,33,0,0,6f6d63baaa6c4f5c9c739596e65b020e,Laborers Union,62500.00,33
6,N00001143,57500.00,27,0,0,390767dc6b4b491ca775b1bdf8a36eea,National Assn of Letter Carriers,57500.00,27
7,N00001143,56500.00,27,0,0,1df6bba1eacb429d914630b767426d88,American Postal Workers Union,56500.00,27
8,N00001143,0,0,52750.00,47,03d8e68b94cf425ca273be53ef16ea0c,SF Investments,52750.00,47
9,N00001143,52500.00,41,0,0,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,52500.00,41
0,N00003028,89000.00,43,3750.00,6,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,92750.00,49
1,N00003028,64237.00,33,23948.00,27,3ac91c16ba4b4105a744875d97fc305e,Drummond Co,88185.00,60
2,N00003028,82500.00,35,0,0,3806ce18b0df455bbc81ac18f41f7266,Alabama Power,82500.00,35
3,N00003028,81899.00,37,0,0,6f888816ce6a4db2b5e6779c4f3b9dfa,Alabama Farmers Federation,81899.00,37
4,N00003028,60000.00,16,19349.00,14,7c32b16483f94e5ebc998460eecd8040,Dynetics Inc,79349.00,30
5,N00003028,36500.00,27,39277.00,62,8e4ad25777474e3bb0124a5034a134ce,Balch & Bingham,75777.00,89
6,N00003028,0,0,74837.00,60,1c5f49c6c04c4a7f970fa99688704c5c,Collazo Enterprises,74837.00,60
7,N00003028,63500.00,23,0,0,,Compass Bancshares,63500.00,23
8,N00003028,55250.00,39,3000.00,4,5516ba695ba741ab9f6ff35627621297,Lockheed Martin,58250.00,43
9,N00003028,57000.00,47,0,0,a280dccfdac6477a9b2a03314511d193,Raytheon Co,57000.00,47
0,N00007653,40200.00,20,0,0,b4e77fc68c91471f805554e14da60fb9,Intl Longshoremen's/Warehousemen's Union,40200.00,20
1,N00007653,19150.00,13,18850.00,18,20e39e09112f47e98acb31948e6e487a,Alexander & Baldwin,38000.00,31
2,N00007653,37500.00,11,0,0,34a10e8bb89843b8b9a89c1c09bed3f5,Air Line Pilots Assn,37500.00,11
3,N00007653,35250.00,14,0,0,1b8fea7e453d4e75841eac48ff9df550,National Education Assn,35250.00,14
4,N00007653,35000.00,11,0,0,68f73188dbf44f049e9138e0c0a54a2c,Machinists/Aerospace Workers Union,35000.00,11
5,N00007653,34500.00,13,0,0,390767dc6b4b491ca775b1bdf8a36eea,National Assn of Letter Carriers,34500.00,13
6,N00007653,30500.00,8,2600.00,2,425be85642b24cc2bc3d8a0bb3c7bc92,Sheet Metal Workers Union,33100.00,10
7,N00007653,31000.00,13,700.00,2,5202316fe79343a09a31e8c6c31ebe3d,American Bankers Assn,31700.00,15
8,N00007653,31000.00,9,0,0,fb702029157e4c7c887172eba71c66c5,American Fedn of St/Cnty/Munic Employees,31000.00,9
9,N00007653,30000.00,11,0,0,d3db6dd51bef4b758300d6ea611f71ae,Assn of Trial Lawyers of America,30000.00,11
0,N00009082,42000.00,11,500.00,1,1922de3455104cfea2924cab5a888780,American Veterinary Medical Assn,42500.00,12
1,N00009082,26500.00,22,14463.00,27,bac53ad942704ecdb4c8e851c111c8a8,ConAgra Foods,40963.00,49
2,N00009082,31000.00,20,500.00,2,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,31500.00,22
3,N00009082,28200.00,10,500.00,2,27a91bf5addc45d4b5646f92570deb89,American Medical Assn,28700.00,12
4,N00009082,28049.00,12,0,0,cac4e1569e20459c8db0dbe5bb045245,National Fedn of Independent Business,28049.00,12
5,N00009082,26861.00,14,0,0,e13e2512f89e4fff8cddd0f97b873ceb,American Institute of CPAs,26861.00,14
6,N00009082,17000.00,10,9700.00,17,5516ba695ba741ab9f6ff35627621297,Lockheed Martin,26700.00,27
7,N00009082,24905.00,19,1200.00,4,d1bc3415511445038cd565ab0fcc3e8c,National Rural Electric Cooperative Assn,26105.00,23
8,N00009082,25800.00,13,0,0,55251eb36a2142f8a74c56455af6f11e,National Rifle Assn,25800.00,13
9,N00009082,17000.00,12,7713.00,19,ae0d8bee9bee4736a74bf7e5e3d35799,ConAgra Inc,24713.00,31
0,N00000826,34100.00,15,69087.00,92,02374763910c4efaa6e21611273cf91e,Corinthian Colleges,103187.00,107
1,N00000826,92500.00,25,0,0,f89c8e3ab2b44f72971f91b764868231,Teamsters Union,92500.00,25
2,N00000826,91500.00,32,0,0,68f73188dbf44f049e9138e0c0a54a2c,Machinists/Aerospace Workers Union,91500.00,32
3,N00000826,84500.00,36,0,0,6f6d63baaa6c4f5c9c739596e65b020e,Laborers Union,84500.00,36
4,N00000826,83000.00,51,500.00,1,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,83500.00,52
5,N00000826,83300.00,41,0,0,fb702029157e4c7c887172eba71c66c5,American Fedn of St/Cnty/Munic Employees,83300.00,41
6,N00000826,82000.00,35,0,0,4d3167b97c9f48deb433aad57bb0ee44,United Auto Workers,82000.00,35
7,N00000826,81250.00,58,0,0,82b6cbef5c8a447ea2c4b2fffba57d0e,United Food & Commercial Workers Union,81250.00,58
8,N00000826,75999.00,36,0,0,e1f3b5e0d6d1493393baba18fabb8912,American Dental Assn,75999.00,36
9,N00000826,67500.00,40,0,0,1b8fea7e453d4e75841eac48ff9df550,National Education Assn,67500.00,40
0,N00000469,73500.00,26,0,0,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,73500.00,26
1,N00000469,62500.00,20,0,0,f89c8e3ab2b44f72971f91b764868231,Teamsters Union,62500.00,20
2,N00000469,60000.00,16,0,0,68f73188dbf44f049e9138e0c0a54a2c,Machinists/Aerospace Workers Union,60000.00,16
