,Party 1,Party 2,Source,Target,Weight,Type
1302,D,D,Alma Adams,Pete Aguilar,0.8114128610996643,Undirected
1304,D,D,Alma Adams,Brad Ashford,0.6915647979541607,Undirected
1307,D,D,Alma Adams,Xavier Becerra,0.867049492672531,Undirected
1308,D,D,Alma Adams,Sanford Bishop,0.8127372900772363,Undirected
1309,D,D,Alma Adams,Earl Blumenauer,0.8068157559765361,Undirected
1312,D,D,Alma Adams,Corrine Brown,0.842415498718218,Undirected
1313,D,D,Alma Adams,Robert Brady,0.8884182112554586,Undirected
1317,D,D,Alma Adams,George Butterfield,0.8840148626663398,Undirected
1322,D,D,Alma Adams,Karen Bass,0.8517238456403469,Undirected
1327,D,D,Alma Adams,Suzanne Bonamici,0.8632783026721724,Undirected
1328,D,D,Alma Adams,Joyce Beatty,0.8862099702168434,Undirected
1332,D,D,Alma Adams,Julia Brownley,0.8369366590043994,Undirected
1333,D,D,Alma Adams,Cheri Bustos,0.8093256450943473,Undirected
1334,D,D,Alma Adams,Ami Bera,0.8160549380140804,Undirected
1338,D,D,Alma Adams,Donald Beyer,0.8717868400570541,Undirected
1342,D,D,Alma Adams,Brendan Boyle,0.8691989328493963,Undirected
1346,D,D,Alma Adams,James Clyburn,0.8623736556146899,Undirected
1347,D,D,Alma Adams,John Conyers,0.786428665310601,Undirected
1348,D,D,Alma Adams,Jim Cooper,0.7522801554105956,Undirected
1349,D,D,Alma Adams,Elijah Cummings,0.8870823314302383,Undirected
1350,D,D,Alma Adams,Lois Capps,0.8386576736051237,Undirected
1351,D,D,Alma Adams,Michael Capuano,0.8526764883307822,Undirected
1352,D,D,Alma Adams,Joseph Crowley,0.874216376758893,Undirected
1355,D,D,Alma Adams,Wm. Clay,0.8495414640330461,Undirected
1358,D,D,Alma Adams,Jim Costa,0.7107348453479199,Undirected
1359,D,D,Alma Adams,Emanuel Cleaver,0.8684942184556547,Undirected
1361,D,D,Alma Adams,Henry Cuellar,0.6578646500472005,Undirected
1362,D,D,Alma Adams,Kathy Castor,0.8953845296382774,Undirected
1363,D,D,Alma Adams,Yvette Clarke,0.8714627435837267,Undirected
1364,D,D,Alma Adams,Steve Cohen,0.8759269791907294,Undirected
1365,D,D,Alma Adams,Joe Courtney,0.8281184332615574,Undirected
1366,D,D,Alma Adams,André Carson,0.8975807183268535,Undirected
1369,D,D,Alma Adams,Gerald Connolly,0.871482508447899,Undirected
1370,D,D,Alma Adams,Judy Chu,0.851555869436629,Undirected
1371,D,D,Alma Adams,John Carney,0.8760760619309425,Undirected
1372,D,D,Alma Adams,David Cicilline,0.8708471847597764,Undirected
1374,D,D,Alma Adams,Matthew Cartwright,0.8556723014532625,Undirected
1375,D,D,Alma Adams,Joaquin Castro,0.8542687297492882,Undirected
1380,D,D,Alma Adams,Tony Cárdenas,0.8760644654942522,Undirected
1381,D,D,Alma Adams,Katherine Clark,0.8584972004624405,Undirected
1387,D,D,Alma Adams,Danny Davis,0.8569775667063267,Undirected
1388,D,D,Alma Adams,Peter DeFazio,0.8525573665635541,Undirected
1389,D,D,Alma Adams,Diana DeGette,0.86767572157906,Undirected
1390,D,D,Alma Adams,Rosa DeLauro,0.8648984685611717,Undirected
1391,D,D,Alma Adams,Lloyd Doggett,0.8439235395402862,Undirected
1392,D,D,Alma Adams,Michael Doyle,0.8396004130431942,Undirected
1394,D,D,Alma Adams,Susan Davis,0.8659381437374533,Undirected
1397,D,D,Alma Adams,Theodore Deutch,0.8344488126993925,Undirected
1403,D,D,Alma Adams,Suzan DelBene,0.8705926330828109,Undirected
1405,D,D,Alma Adams,John Delaney,0.8188604643210056,Undirected
1407,D,D,Alma Adams,Tammy Duckworth,0.8100285466904209,Undirected
1408,D,D,Alma Adams,Mark DeSaulnier,0.8785580415490355,Undirected
1409,D,D,Alma Adams,Debbie Dingell,0.90109198956561,Undirected
1411,D,D,Alma Adams,Eliot Engel,0.8510638678137691,Undirected
1412,D,D,Alma Adams,Anna Eshoo,0.8625705511224191,Undirected
