,0,1,2
0,Andy Burnham,Yvette Cooper,7371
1,Liz Kendall,Yvette Cooper,6723
2,Andy Burnham,Liz Kendall,6620
3,Ed Miliband,Yvette Cooper,5252
4,Andy Burnham,Ed Miliband,5217
5,Ed Miliband,Liz Kendall,5105
6,Andy Burnham,Jeremy Corbyn,3044
7,Andy Burnham,David Cameron,3021
8,Jeremy Corbyn,Yvette Cooper,2752
9,David Cameron,Yvette Cooper,2688
10,Harriet Harman,Liz Kendall,2637
11,Chuka Umunna,Liz Kendall,2630
12,Harriet Harman,Yvette Cooper,2607
13,Andy Burnham,Harriet Harman,2581
14,Mary Creagh,Yvette Cooper,2486
15,Liz Kendall,Mary Creagh,2485
16,Andy Burnham,Mary Creagh,2454
17,Jeremy Corbyn,Liz Kendall,2423
18,David Cameron,Ed Miliband,2400
19,David Cameron,Liz Kendall,2373
20,Chuka Umunna,Ed Miliband,2317
21,Andy Burnham,Chuka Umunna,2251
22,Ed Miliband,Jeremy Corbyn,2250
23,Chuka Umunna,Yvette Cooper,2209
24,Ed Miliband,Harriet Harman,2125
25,Liz Kendall,Tony Blair,1950
26,Tony Blair,Yvette Cooper,1928
27,Andy Burnham,Tony Blair,1831
28,Ed Miliband,Tony Blair,1643
29,Gordon Brown,Liz Kendall,1612
30,Ed Miliband,Mary Creagh,1587
31,Gordon Brown,Yvette Cooper,1505
32,Chuka Umunna,Harriet Harman,1477
33,Andy Burnham,George Osborne,1401
34,David Cameron,Jeremy Corbyn,1353
35,Ed Miliband,Gordon Brown,1330
36,Andy Burnham,Gordon Brown,1305
37,David Cameron,George Osborne,1249
38,Gordon Brown,Tony Blair,1226
39,George Osborne,Yvette Cooper,1195
40,Chuka Umunna,Gordon Brown,1177
41,David Cameron,Harriet Harman,1170
42,George Osborne,Liz Kendall,1159
43,Ed Miliband,George Osborne,1103
44,David Miliband,Yvette Cooper,1076
45,Chuka Umunna,Tony Blair,1065
46,Harriet Harman,Tony Blair,1057
47,George Osborne,Jeremy Corbyn,1002
48,Gordon Brown,Harriet Harman,996
49,Andy Burnham,David Miliband,983
50,David Miliband,Ed Miliband,973
51,George Osborne,Harriet Harman,957
52,Harriet Harman,Jeremy Corbyn,954
53,David Miliband,Liz Kendall,938
54,Chuka Umunna,Dan Jarvis,909
55,Andy Burnham,Tom Watson,900
56,David Cameron,Tony Blair,895
57,Dan Jarvis,Ed Miliband,887
58,Liz Kendall,Tom Watson,886
59,Dan Jarvis,Liz Kendall,864
60,Ed Miliband,Tom Watson,848
61,Chuka Umunna,David Cameron,810
62,Andy Burnham,Dan Jarvis,799
63,Dan Jarvis,Yvette Cooper,786
64,Andy Burnham,Len Mccluskey,724
