,0,1,2
0,National Executive Committee,Twitter,278
1,Labour Party,Scottish National Party,269
2,Charlotte Church,National Health Service,252
3,Labour Party,Parliamentary Labour Party,251
4,National Health Service,Royal Bank,240
5,National Health Service,Union Jack,240
6,Royal Bank,Union Jack,239
7,Charlotte Church,Royal Bank,238
8,Charlotte Church,Union Jack,237
9,Institute For Fiscal Studies,National Living Wage,207
10,Labour Party,Queen Mary University Of London,197
11,International Development,Parliamentary Standards Authority Ipsa,182
12,European Union,Labour Party,175
13,Labour Party,Office For Budget Responsibility,174
14,Parliamentary Labour Party,Public Accounts Committee,173
15,People Assembly,Singer Charlotte Church,172
16,Labour Party,Welsh Assembly,172
17,Association Ltd,Labour Party,171
18,Campaign For Nuclear Disarmament,War Coalition,168
19,People Assembly,War Coalition,162
20,Labour Party,Twitter,162
21,Campaign For Nuclear Disarmament,Singer Charlotte Church,162
22,Campaign For Nuclear Disarmament,People Assembly,161
23,Labour Party,Scottish Parliament Ms Kendall,160
24,Scottish Parliament Ms Kendall,Welsh Assembly,160
25,Charlotte Church,People Assembly Against Austerity,159
26,Singer Charlotte Church,War Coalition,158
27,Labour Party,National Living Wage,155
28,Labour Party,People Assembly,154
29,Labour Party,War Coalition,148
30,Electoral Reform Society,Labour Party,145
31,Campaign For Nuclear Disarmament,Labour Party,143
32,National Health Service,Parliament Sq,141
33,Parliament Sq,Royal Bank,141
34,Parliament Sq,Union Jack,141
35,Charlotte Church,Parliament Sq,141
36,European Union,Scottish National Party,139
37,Labour Party,Singer Charlotte Church,131
38,Labour Party,Reuters,130
39,Green Party,Labour Party,130
40,Charlotte Church,Parliament Square,117
41,British Medical Association,Royal College Of Nursing,113
42,Facebook,Labour Party,110
43,Opening Of Parliament,Royal Commission,109
44,Queen Mary University Of London,Scottish National Party,109
45,National Health Service,Parliament Square,97
46,National Health Service,People Assembly Against Austerity,95
47,People Assembly Against Austerity,Union Jack,95
48,Charlotte Church,Labour Party,95
49,People Assembly Against Austerity,Royal Bank,94
50,Charlotte Church,Green Party,94
51,Parliament Square,People Assembly Against Austerity,91
52,Green Party,Scottish National Party,91
53,Labour Party,United States,89
54,Parliament Square,Royal Bank,89
55,Labour Party,Union Congress,89
56,Queen Mary University Of London,University Of Edinburgh,88
57,Labour Party,University Of Edinburgh,88
58,Parliament Square,Union Jack,87
59,European Union,Green Party,86
60,Commons Member Expenses Committee,Parliamentary Standards Authority,85
61,Britain Labour Party,Scottish National Party,83
62,Labour Party,Shadow Health,82
63,International Rescue Committee,Labour Party,81
64,Cnn,Labour Party,79
65,Green Party,Twitter,78
66,My Regeneration,Prince Regeneration,77
67,Affordable Rural Housing Initiative,Supreme Court,77
68,Affordable Rural Housing Initiative,My Regeneration,76
69,English Labour Party,Labour Party,76
70,Affordable Rural Housing Initiative,Prince Regeneration,76
71,Prince Regeneration,Supreme Court,76
72,My Regeneration,Supreme Court,76
73,Cnn,International Rescue Committee,75
74,Parliamentary Standards Authority Ipsa,Twitter,71
75,Facebook,Twitter,71
76,Office For Budget Responsibility,Parliamentary Labour Party,70
77,European Parliament,Twitter,66
78,Green Party,People Assembly Against Austerity,66
79,European Union,Green Mps In Parliament,65
80,Green Mps In Parliament,Green Party,65
81,Labour Party,People Assembly Against Austerity,64
82,Green Mps In Parliament,Scottish National Party,64
83,Charlotte Church,Union Congress,61
84,Green Party,Union Congress,61
85,Ep European Parliament,Twitter,60
86,European Parliament,Green Party,60
87,European Parliament,Investment Partnership,60
88,Home Office,Serco,59
89,Ep European Parliament,European Parliament,58
90,Ipcc,Police Complaints Commission,57
91,Associated Press,Labour Party,57
92,Labour Party,National Union Of Students,56
93,Charlotte Church,People Assembly,55
94,Green Party,Investment Partnership,55
95,Charlotte Church,Coalition In Order To,55
96,Ep European Parliament,Green Party,54
97,Investment Partnership,Twitter,54
98,Charlotte Church,Even The Police,54
99,People Assembly Against Austerity,Union Congress,53
100,Association Ltd,European Union,53
101,Ep European Parliament,Investment Partnership,53
102,European Union,Yougov,53
103,Coalition In Order To,Even The Police,53
104,European Union,Reuters,53
105,Ipcc,Justice Campaign,52
106,Labour Party,National Insurance,52
107,Labour Party,National Health Service,51
108,Associated Press,Queen Mary University Of London,51
109,Associated Press,Scottish National Party,49
110,European Party,European Union,49
111,European Commission,European Union,48
112,National Insurance,National Union Of Students,47
113,European Union,United States,46
114,European Union,Twitter,46
115,Labour Party,Scottish Labour Party,45
116,Scottish National Party,Yougov,45
117,Reuters,Union Congress,44
118,Green Party,Yougov,44
119,Pensions Committee,Pensions Select Committee,43
120,Charlotte Church,Pensions Committee,43
121,Justice Campaign,Police Complaints Commission,43
122,Charlotte Church,Pensions Select Committee,43
123,Association Ltd,Parliamentary Labour Party,41
124,Foreign Office,Home Affairs Select Committee,41
125,Green Mps In Parliament,Yougov,40
126,A Home Office,Justice Campaign,38
127,A Home Office,Ipcc,38
128,Labour Party,United Kingdom Independence Party,38
129,Labour Party,New York Times,38
130,Green Party,Reuters,37
131,Labour Party,Scottish Parliament,36
132,Association Of Directors Of Adult Social Services,Better Care Fund,36
133,Charlotte Church,Reuters,36
134,Better Care Fund,King Fund,36
135,Association Of Directors Of Adult Social Services,King Fund,36
136,Foreign Office,International Development,35
137,Home Affairs Select Committee,International Development,35
138,A Home Office,Police Complaints Commission,35
139,Britain Labour Party,Labour Party,35
140,Foreign Office,Parliamentary Standards Authority Ipsa,34
141,Home Affairs Select Committee,Parliamentary Standards Authority Ipsa,34
142,European Union,Scottish Parliament,33
143,Parliament Square,People Assembly,33
144,British Labour Party,Labour Party,33
145,Labour Party,National Executive Committee,32
146,Labour Party,Yougov,31
147,Association Ltd,Twitter,30
148,People Assembly Against Austerity,Reuters,30
149,Associated Press,University Of Edinburgh,29
150,Scottish Parliament,Twitter,29
151,Reuters,Scottish National Party,29
152,European Union,United Kingdom Independence Party,28
153,Associated Press,Britain Labour Party,27
154,Scottish National Party,United Kingdom Independence Party,27
155,New York Times,United States,27
156,Twitter,United States,27
157,Scottish National Party,Twitter,27
158,Labour Party,White House,27
159,Labour Party,Smith Commission,26
160,European Union,National Health Service,26
161,Parliamentary Labour Party,Twitter,26
162,European Commission,Twitter,26
163,Scottish Parliament,Smith Commission,26
164,Labour Party,United Kingdom Labour Party,25
165,National Health Service,Scottish National Party,24
166,British Medical Association,King Fund,24
167,Department Of Culture,Health Secretary,24
168,Association Ltd,National Living Wage,24
169,European Scrutiny Committee,Labour Party,23
170,Green Party,Strathclyde University,23
171,Health Secretary,Watford Grammar School For Girls,23
172,Associated Press,Supreme Court,23
173,United States,White House,23
174,Department Of Culture,Watford Grammar School For Girls,23
175,Association Of Meinungsforschungsinstitute,Party Leaders,23
176,European Commission,Scottish Parliament,23
177,Labour Party,Oxford University,23
178,Scottish Labour Party,United Kingdom Labour Party,23
179,Scottish National Party,Strathclyde University,23
180,Green Mps In Parliament,Strathclyde University,23
181,European Union,Strathclyde University,23
182,Labour Party,Leader Of The Labour Party,22
183,European Union,New York Times,22
184,Green Party,People Assembly,22
185,Home Office,Labour Party,22
186,Labour Party,Young,22
187,Labour Party,Parliament Square,22
188,United Nations,United States,22
189,European Parliament,Labour Party,21
190,Green Party,National Health Service,21
191,Twitter,United Kingdom Independence Party,21
192,Even The Police,Scotland Chalotte Church,20
193,Charlotte Church,Scotland Chalotte Church,20
194,Labour Party,Youtube,20
195,Labour Party,Tory Party,19
196,Association Ltd,Supreme Court,19
197,Coalition In Order To,Scotland Chalotte Church,19
198,Democratic Party,United States,19
