,Party 1,Party 2,Source,Target,Weight,Type
92797,R,R,Aaron Schock,Ann Wagner,0.006859853,Undirected
92755,R,R,Aaron Schock,Austin Scott,0.004195441,Undirected
92800,R,R,Aaron Schock,Brad Wenstrup,0.005140449,Undirected
92804,R,R,Aaron Schock,Bruce Westerman,0.005926419,Undirected
92757,R,R,Aaron Schock,Chris Stewart,0.004618646,Undirected
92793,R,R,Aaron Schock,Daniel Webster,0.006175524,Undirected
92774,R,R,Aaron Schock,Dave Trott,0.018011178,Undirected
92751,R,R,Aaron Schock,David Schweikert,0.002444699,Undirected
92779,R,R,Aaron Schock,David Valadao,0.010521046,Undirected
92811,R,R,Aaron Schock,David Young,0.005032495,Undirected
92806,R,R,Aaron Schock,Don Young,0.008580204,Undirected
92784,R,R,Aaron Schock,Ed Whitfield,0.006854521,Undirected
92760,R,R,Aaron Schock,Elise Stefanik,0.004456329,Undirected
92775,R,R,Aaron Schock,Fred Upton,0.006343304,Undirected
92767,R,R,Aaron Schock,Glenn Thompson,0.013413021,Undirected
92785,R,R,Aaron Schock,Greg Walden,0.007085236,Undirected
92798,R,R,Aaron Schock,Jackie Walorski,0.003284229,Undirected
92759,R,R,Aaron Schock,Jason Smith,0.005538578,Undirected
92786,R,R,Aaron Schock,Joe Wilson,0.006079369,Undirected
92808,R,R,Aaron Schock,Kevin Yoder,0.006685016,Undirected
92812,R,R,Aaron Schock,Lee Zeldin,0.003791284,Undirected
92787,R,R,Aaron Schock,Lynn Westmoreland,0.009893765,Undirected
92762,R,R,Aaron Schock,Mac Thornberry,0.005384993,Undirected
92802,R,R,Aaron Schock,Mark Walker,0.013516313,Undirected
92754,R,R,Aaron Schock,Marlin Stutzman,0.010583876,Undirected
92765,R,R,Aaron Schock,Michael Turner,0.010872594,Undirected
92803,R,R,Aaron Schock,Mimi Walters,0.006235805,Undirected
92764,R,R,Aaron Schock,Patrick Tiberi,0.014535794,Undirected
92799,R,R,Aaron Schock,Randy Weber,0.014111964,Undirected
92796,R,R,Aaron Schock,Rob Woodall,0.014586626,Undirected
92792,R,R,Aaron Schock,Robert Wittman,0.005895998,Undirected
92801,R,R,Aaron Schock,Roger Williams,0.008672818,Undirected
92813,R,R,Aaron Schock,Ryan Zinke,0.003459611,Undirected
92770,R,R,Aaron Schock,Scott Tipton,0.009754946,Undirected
92753,R,R,Aaron Schock,Steve Stivers,0.016345602,Undirected
92795,R,R,Aaron Schock,Steve Womack,0.00705007,Undirected
